Notification: The page size on your hardware system is: 4096 bytes.
Notification: An anonymous shared mapping in memory was created, with read/write permmission, and with the length: 100.
Notification:   Actually, the length/size of the mapping in memory is: 1 page(s).
[Producer] Notification: sunt procesul tata, cu PID-ul: 11590.
[Consumer] Notification: sunt procesul fiu, cu PID-ul: 11591.
[Producer] Notification: I wrote the 0th text, "Text:   0", in the mapping.
[Consumer] Notification: I read the 0th text, "Text:   0", from the mapping.
[Producer] Notification: I wrote the 1th text, "Text:   1", in the mapping.
[Consumer] Notification: I read the 1th text, "Text:   1", from the mapping.
[Producer] Notification: I wrote the 2th text, "Text:   2", in the mapping.
[Producer] Notification: I wrote the 3th text, "Text:   3", in the mapping.
[Consumer] Notification: I read the 2th text, "Text:   2", from the mapping.
[Producer] Notification: I wrote the 4th text, "Text:   4", in the mapping.
[Consumer] Notification: I read the 3th text, "Text:   3", from the mapping.
[Producer] Notification: I wrote the 5th text, "Text:   5", in the mapping.
[Producer] Notification: I wrote the 6th text, "Text:   6", in the mapping.
[Consumer] Notification: I read the 4th text, "Text:   4", from the mapping.
[Producer] Notification: I wrote the 7th text, "Text:   7", in the mapping.
[Consumer] Notification: I read the 5th text, "Text:   5", from the mapping.
[Producer] Notification: I wrote the 8th text, "Text:   8", in the mapping.
[Producer] Notification: I wrote the 9th text, "Text:   9", in the mapping.
[Consumer] Notification: I read the 6th text, "Text:   6", from the mapping.
[Producer] Notification: I wrote the 10th text, "Text:  10", in the mapping.
[Producer] Notification: I wrote the 11th text, "Text:  11", in the mapping.
[Consumer] Notification: I read the 7th text, "Text:   7", from the mapping.
[Producer] Notification: I wrote the 12th text, "Text:  12", in the mapping.
[Producer] Notification: I wrote the 13th text, "Text:  13", in the mapping.
[Consumer] Notification: I read the 8th text, "Text:   8", from the mapping.
[Producer] Notification: I wrote the 14th text, "Text:  14", in the mapping.
[Producer] Notification: I wrote the 15th text, "Text:  15", in the mapping.
[Consumer] Notification: I read the 9th text, "Text:   9", from the mapping.
[Producer] Notification: I wrote the 16th text, "Text:  16", in the mapping.
[Producer] Notification: I wrote the 17th text, "Text:  17", in the mapping.
[Consumer] Notification: I read the 10th text, "Text:  10", from the mapping.
[Producer] Notification: I wrote the 18th text, "Text:  18", in the mapping.
[Producer] Notification: I wrote the 19th text, "Text:  19", in the mapping.
[Consumer] Notification: I read the 11th text, "Text:  11", from the mapping.
[Producer] Notification: I wrote the 20th text, "Text:  20", in the mapping.
[Producer] Notification: I wrote the 21th text, "Text:  21", in the mapping.
[Consumer] Notification: I read the 12th text, "Text:  12", from the mapping.
[Producer] Notification: I wrote the 22th text, "Text:  22", in the mapping.
[Producer] Notification: I wrote the 23th text, "Text:  23", in the mapping.
[Consumer] Notification: I read the 13th text, "Text:  13", from the mapping.
[Producer] Notification: I wrote the 24th text, "Text:  24", in the mapping.
[Producer] Notification: I wrote the 25th text, "Text:  25", in the mapping.
[Consumer] Notification: I read the 14th text, "Text:  14", from the mapping.
[Producer] Notification: I wrote the 26th text, "Text:  26", in the mapping.
[Producer] Notification: I wrote the 27th text, "Text:  27", in the mapping.
[Consumer] Notification: I read the 15th text, "Text:  15", from the mapping.
[Producer] Notification: I wrote the 28th text, "Text:  28", in the mapping.
[Producer] Notification: I wrote the 29th text, "Text:  29", in the mapping.
[Consumer] Notification: I read the 16th text, "Text:  16", from the mapping.
[Producer] Notification: I wrote the 30th text, "Text:  30", in the mapping.
[Producer] Notification: I wrote the 31th text, "Text:  31", in the mapping.
[Consumer] Notification: I read the 17th text, "Text:  17", from the mapping.
[Producer] Notification: I wrote the 32th text, "Text:  32", in the mapping.
[Consumer] Notification: I read the 18th text, "Text:  18", from the mapping.
[Producer] Notification: I wrote the 33th text, "Text:  33", in the mapping.
[Producer] Notification: I wrote the 34th text, "Text:  34", in the mapping.
[Consumer] Notification: I read the 19th text, "Text:  19", from the mapping.
[Producer] Notification: I wrote the 35th text, "Text:  35", in the mapping.
[Producer] Notification: I wrote the 36th text, "Text:  36", in the mapping.
[Producer] Notification: I wrote the 37th text, "Text:  37", in the mapping.
[Consumer] Notification: I read the 20th text, "Text:  20", from the mapping.
[Producer] Notification: I wrote the 38th text, "Text:  38", in the mapping.
